,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
188503,94693,Emanuela Pierantozzi,F,23.0,170.0,78.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Middleweight,Silver
188504,94693,Emanuela Pierantozzi,F,27.0,170.0,78.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Middleweight,
188505,94693,Emanuela Pierantozzi,F,32.0,170.0,78.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Heavyweight,Bronze
188533,94706,Alessandro Pieri,M,24.0,193.0,89.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
188534,94706,Alessandro Pieri,M,24.0,193.0,89.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
188535,94707,Gianfranco Claudio Sergio Pieri,M,23.0,191.0,81.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,
188536,94707,Gianfranco Claudio Sergio Pieri,M,27.0,191.0,81.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,
188541,94711,Gastone Pierini,M,24.0,167.0,66.5,Italy,ITA,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Lightweight,
188542,94711,Gastone Pierini,M,28.0,167.0,66.5,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Lightweight,
188543,94711,Gastone Pierini,M,32.0,167.0,66.5,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Weightlifting,Weightlifting Men's Lightweight,Bronze
188544,94711,Gastone Pierini,M,36.0,167.0,66.5,Italy,ITA,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Lightweight,
188581,94730,Emilio Piersantelli,M,,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
188588,94734,Silvana Pierucci,F,19.0,,,Italy,ITA,1948 Summer,1948,Summer,London,Athletics,Athletics Women's Long Jump,
