,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
72684,36960,Gert Fridolf Fredriksson,M,32.0,176.0,72.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver
72685,36960,Gert Fridolf Fredriksson,M,37.0,176.0,72.0,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
72686,36960,Gert Fridolf Fredriksson,M,37.0,176.0,72.0,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Gold
72687,36960,Gert Fridolf Fredriksson,M,40.0,176.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
72688,36960,Gert Fridolf Fredriksson,M,40.0,176.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
72689,36960,Gert Fridolf Fredriksson,M,40.0,176.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,
72690,36961,John Ferdinand Fredriksson,M,28.0,,,Sweden,SWE,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Downhill,
72691,36961,John Ferdinand Fredriksson,M,28.0,,,Sweden,SWE,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
72692,36961,John Ferdinand Fredriksson,M,28.0,,,Sweden,SWE,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Slalom,
72693,36962,Kjell Arnold Fredriksson,M,23.0,167.0,54.0,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Bantamweight,
72694,36963,Knut Rudolf Fredriksson,M,30.0,195.0,85.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Javelin Throw,
72695,36964,Stig Magnus Ingemar Fredriksson,M,28.0,178.0,82.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
72696,36964,Stig Magnus Ingemar Fredriksson,M,32.0,178.0,82.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
72697,36965,Johan Fredrik Mathias Fredriksson,M,21.0,182.0,79.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
72698,36965,Johan Fredrik Mathias Fredriksson,M,24.0,182.0,79.0,Sweden,SWE,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
72699,36965,Johan Fredrik Mathias Fredriksson,M,24.0,182.0,79.0,Sweden,SWE,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
72700,36965,Johan Fredrik Mathias Fredriksson,M,28.0,182.0,79.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
72701,36965,Johan Fredrik Mathias Fredriksson,M,28.0,182.0,79.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,
72702,36965,Johan Fredrik Mathias Fredriksson,M,28.0,182.0,79.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
72703,36965,Johan Fredrik Mathias Fredriksson,M,33.0,182.0,79.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
72704,36965,Johan Fredrik Mathias Fredriksson,M,33.0,182.0,79.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
72705,36965,Johan Fredrik Mathias Fredriksson,M,33.0,182.0,79.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,
72706,36965,Johan Fredrik Mathias Fredriksson,M,33.0,182.0,79.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
72707,36966,Karl Daniel Thobias Fredriksson,M,26.0,183.0,87.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's Sprint,
72708,36966,Karl Daniel Thobias Fredriksson,M,30.0,183.0,87.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint,Bronze
72709,36966,Karl Daniel Thobias Fredriksson,M,30.0,183.0,87.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
72825,37016,Ann-Margreth Frei-Kck (-Hall),F,21.0,155.0,52.0,Sweden,SWE,1964 Winter,1964,Winter,Innsbruck,Figure Skating,Figure Skating Women's Singles,
72860,37031,Karl Gustav Herbert Freij,M,26.0,170.0,67.0,Sweden,SWE,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
72861,37031,Karl Gustav Herbert Freij,M,30.0,170.0,67.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
72862,37031,Karl Gustav Herbert Freij,M,38.0,170.0,67.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
72863,37032,Leif Roland Freij,M,17.0,169.0,62.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",
72997,37100,Per Erik Fresk,M,27.0,180.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Individual",
